haber_metni,hisse_etki,fon_etki,eurobond_etki,altin_etki,gumus_etki,faiz_etki,viop_etki,tahvil_etki
Merkez Bankası politika faizini beklentilerin üzerinde artırdı,0.92,0.97,1.02,0.95,0.94,1.025,0.85,0.97
Enflasyon verisi piyasa beklentisinin altında açıklandı,1.08,1.04,1.03,0.96,0.95,1.01,1.12,1.03
Küresel piyasalarda resesyon endişesi güçlendi,0.88,0.94,1.01,1.12,1.08,1.01,0.78,1.02
Teknoloji şirketlerinden rekor bilanço ve kâr açıklandı,1.15,1.07,1.0,0.97,0.97,1.01,1.22,1.0
Jeopolitik gerilimler nedeniyle petrol ve enerji fiyatları sıçradı,0.90,0.95,1.01,1.15,1.14,1.01,0.82,0.98
Türkiye CDS primi 250 baz puanın altına geriledi,1.12,1.06,1.06,0.97,0.96,1.015,1.18,1.04
ABD Merkez Bankası (FED) faiz indirim döngüsünü başlattı,1.10,1.05,1.05,1.08,1.07,1.01,1.15,1.03
Dolar endeksi (DXY) küresel ölçekte sert yükseldi,0.93,0.97,1.02,0.92,0.90,1.02,0.88,0.98
Merkez bankaları küresel altın alımlarını rekor seviyeye çıkardı,0.99,1.0,1.01,1.16,1.08,1.01,0.97,1.0
Gümüşte küresel sanayi ve yeşil enerji talebi patladı,1.02,1.01,1.0,1.05,1.18,1.01,1.05,1.0
Bankacılık sektörünün net kârlılığı beklentileri ikiye katladı,1.14,1.07,1.01,0.97,0.97,1.015,1.20,1.01
Küresel emtia fiyatlarında arz fazlası nedeniyle düşüş yaşandı,1.03,1.02,1.01,0.92,0.90,1.01,1.04,1.01
Avrupa Birliği ekonomik büyüme tahmini yukarı revize edildi,1.07,1.04,1.03,0.98,0.98,1.01,1.09,1.02
Kur Korumalı Mevduat stoku eridi para borsaya ve altına kaydı,1.08,1.04,1.01,1.06,1.04,1.005,1.12,1.01
Hazine ve Maliye Bakanlığı tahvil ihalesine rekor talep geldi,1.02,1.02,1.04,0.98,0.98,1.01,1.03,1.04
Konut satışları ve gayrimenkul sektörü endeksi yükseldi,1.06,1.04,1.0,1.01,1.0,1.01,1.08,1.0
İşsizlik oranı son 10 yılın en düşük seviyesine geriledi,1.07,1.04,1.01,0.98,0.98,1.015,1.10,1.01
İmalat PMI verisi 50 eşiğinin altına inerek daralmaya işaret etti,0.91,0.95,1.01,1.04,1.03,1.01,0.84,1.02
Turizm gelirlerinde sezonluk rekor kırıldı,1.06,1.04,1.02,1.01,1.0,1.01,1.08,1.01
Cari denge beklentilerin üzerinde fazla verdi,1.09,1.05,1.05,0.96,0.96,1.015,1.14,1.03
Uluslararası derecelendirme kuruluşu ülke notunu artırdı,1.16,1.08,1.08,0.94,0.94,1.015,1.24,1.05
Küresel borsa endekslerinde kar satışı dalgası başladı,0.90,0.95,1.0,1.05,1.04,1.01,0.80,1.01
Savunma sanayi şirketleri 5 milyar dolarlık yeni sözleşme imzaladı,1.12,1.06,1.0,0.99,0.99,1.01,1.18,1.0
Doğal gaz depolama kriz haberleri enerji fiyatlarını fırlattı,0.94,0.97,1.01,1.08,1.09,1.01,0.88,0.99
Borsa İstanbul günlük işlem hacminde tarihi rekor kırdı,1.10,1.05,1.0,0.99,0.99,1.01,1.15,1.0
Merkez Bankası brüt döviz rezervleri rekor seviyeye yükseldi,1.07,1.04,1.05,0.99,0.98,1.015,1.10,1.03
Şirketlere yönelik kurumlar vergisi indirimi yasalaştı,1.11,1.06,1.0,0.98,0.98,1.01,1.16,1.0
Çin Hükümeti devasa ekonomik teşvik paketini açıkladı,1.10,1.06,1.02,1.06,1.12,1.01,1.14,1.01
Küresel tahvil faizleri sert yükseldi,0.94,0.97,0.92,1.03,1.02,1.02,0.88,0.91
Tarım emtia fiyatlarında kuraklık kaynaklı büyük artış görüldü,0.96,0.99,1.0,1.06,1.07,1.01,0.92,0.99
Yabancı doğrudan sermaye yatırımlarında büyük artış kaydedildi,1.12,1.06,1.05,0.98,0.97,1.015,1.18,1.03
Perakende tüketim harcamaları aylık bazda yükseldi,1.06,1.04,1.0,0.98,0.98,1.01,1.08,1.0
Sanayi üretimi endeksi beklentilerin aksine sert düştü,0.90,0.95,1.01,1.04,1.03,1.01,0.82,1.01
Yabancı yatırımcılar hisse senedi piyasasına net alıcı olarak döndü,1.13,1.07,1.04,0.97,0.97,1.015,1.20,1.02
Küresel tedarik zincirinde aksamalar yeniden baş gösterdi,0.93,0.96,1.0,1.06,1.07,1.01,0.86,0.99
Elektrikli araç ve batarya üreticilerine dev teşvik paketi geldi,1.09,1.05,1.0,1.02,1.06,1.01,1.12,1.0
Maden arama ruhsatları genişletildi madencilik hisseleri coştu,1.08,1.04,1.0,1.04,1.10,1.01,1.10,1.0
Bankaların ilk çeyrek kârlılık rasyoları beklentileri aştı,1.12,1.06,1.01,0.97,0.97,1.015,1.18,1.01
Küresel ihracat siparişlerinde zayıflama sinyali geldi,0.92,0.96,1.01,1.03,1.02,1.01,0.85,1.01
Bireysel Emeklilik Sistemi (BES) devlet katkısı artırıldı,1.05,1.08,1.02,1.01,1.0,1.01,1.06,1.03
Kredi notu değerlendirmesi güncelleme yapılmadan ertelendi,0.95,0.98,0.97,1.02,1.01,1.01,0.90,0.98
Yenilenebilir enerji şirketlerine karbon kredisi desteği sağlandı,1.08,1.05,1.0,1.0,1.01,1.01,1.11,1.0
Tüketici güven endeksi son ayların en düşük seviyesine indi,0.93,0.96,1.01,1.03,1.02,1.01,0.86,1.02
Uluslararası yatırım fonları Türk Tahvillerinde ağırlığı artırdı,1.04,1.04,1.07,0.99,0.98,1.015,1.06,1.06
Dev teknoloji firmaları Türkiye'de veri merkezi yatırımı açıkladı,1.10,1.05,1.0,0.98,0.98,1.01,1.14,1.0
Enflasyon beklentileri yukarı yönlü güncellendi,0.92,0.96,0.97,1.09,1.07,1.02,0.85,0.98
Kamu borçlanma gereksinimi düşürüldü bütçe dengesi iyileşti,1.05,1.04,1.06,0.98,0.98,1.015,1.08,1.05
Dış ticaret açığı enerji ihtalatı kaynaklı arttı,0.94,0.97,0.99,1.04,1.03,1.01,0.89,1.0
