haber_metni,hisse_etki,fon_etki,eurobond_etki,altin_etki,gumus_etki,faiz_etki,viop_etki,tahvil_etki
Merkez Bankası politika faizini beklentilerin üzerinde artırdı,0.93,0.97,1.04,1.06,1.04,1.08,0.89,1.05
Enflasyon verisi piyasa beklentisinin altında açıklandı,1.07,1.04,1.03,0.96,0.97,0.95,1.1,1.02
Küresel piyasalarda resesyon endişesi güçlendi,0.91,0.95,1.05,1.1,1.08,1.03,0.86,1.06
Teknoloji şirketlerinden güçlü bilanço sonuçları geldi,1.12,1.06,0.99,0.97,0.98,0.99,1.14,0.98
Jeopolitik gerilimler enerji fiyatlarını yükseltti,0.94,0.97,1.02,1.12,1.15,1.01,0.9,1.03
Türkiye CDS primi geriledi,1.08,1.05,1.07,0.96,0.95,0.97,1.09,1.06
ABD Merkez Bankası faiz indirim sinyali verdi,1.09,1.05,1.06,1.03,1.02,0.96,1.12,1.05
Dolar endeksi sert yükseldi,0.95,0.98,1.03,1.08,1.06,1.02,0.92,1.04
Altın rezervlerine yönelik alımlar hızlandı,0.99,1.0,1.01,1.14,1.07,1.0,0.98,1.01
Gümüşte sanayi talebi rekor seviyeye ulaştı,1.01,1.0,0.99,1.03,1.16,1.0,1.04,0.99
Bankacılık sektöründe kredi büyümesi hızlandı,1.1,1.07,1.01,0.97,0.96,1.03,1.08,1.02
Petrol fiyatları arz artışıyla geriledi,1.04,1.03,1.01,0.95,0.96,0.98,1.05,1.01
Avrupa ekonomisi beklenenden güçlü büyüdü,1.06,1.05,1.02,0.98,0.99,0.99,1.07,1.02
Kur korumalı mevduat bakiyesi azaldı,1.03,1.02,1.04,1.05,1.03,1.01,1.02,1.04
Tahvil ihalesine yoğun talep geldi,1.01,1.02,1.08,0.99,0.98,0.99,1.0,1.1
Konut satışları aylık bazda yükseldi,1.05,1.04,1.0,1.01,1.0,1.0,1.06,1.0
İşsizlik oranı geriledi,1.07,1.05,1.01,0.98,0.99,0.98,1.08,1.01
İmalat PMI verisi daralma bölgesine indi,0.93,0.96,1.03,1.04,1.03,1.02,0.9,1.04
Turizm gelirleri tarihi zirveye ulaştı,1.06,1.04,1.02,1.01,1.0,0.99,1.07,1.02
Cari açık beklentilerin altında gerçekleşti,1.08,1.05,1.06,0.97,0.98,0.97,1.09,1.07
Derecelendirme kuruluşu görünümü pozitife çevirdi,1.11,1.07,1.1,0.96,0.95,0.97,1.12,1.11
Küresel risk iştahı zayıfladı,0.92,0.95,1.04,1.07,1.06,1.02,0.87,1.05
Savunma sanayii ihracatında yeni anlaşma açıklandı,1.09,1.05,1.0,1.0,0.99,1.0,1.11,1.0
Doğal gaz fiyatlarında ani yükseliş yaşandı,0.96,0.98,1.01,1.08,1.1,1.01,0.93,1.02
Borsa işlem hacmi son altı ayın zirvesine çıktı,1.08,1.05,1.0,0.99,1.0,1.0,1.1,1.0
Merkez Bankası rezervleri arttı,1.06,1.04,1.08,1.0,0.99,0.99,1.07,1.09
Vergi düzenlemesi tüketim hisselerini destekledi,1.07,1.05,1.0,0.98,0.98,1.0,1.09,1.0
Çin ekonomisinde büyüme hedefi aşıldı,1.08,1.06,1.01,1.02,1.05,0.99,1.1,1.01
Küresel tahvil faizleri yükseldi,0.96,0.98,0.93,1.04,1.02,1.05,0.94,0.92
Tarım emtia fiyatları kuraklık nedeniyle arttı,0.98,1.0,1.0,1.07,1.09,1.0,0.97,1.0
Fintech sektörüne yabancı yatırım girişi oldu,1.1,1.07,1.0,0.99,1.0,1.0,1.13,1.0
Perakende satışlar beklentileri geçti,1.07,1.05,1.01,0.98,0.99,0.99,1.08,1.01
Sanayi üretimi aylık bazda düştü,0.94,0.97,1.03,1.03,1.02,1.02,0.91,1.04
Kurumsal vergi indirimi gündeme geldi,1.1,1.06,1.0,0.98,0.99,0.99,1.12,1.0
Yurt dışı yerleşikler hisse senedi aldı,1.09,1.06,1.04,0.98,0.98,0.98,1.11,1.05
Küresel lojistik maliyetleri arttı,0.95,0.97,1.01,1.04,1.05,1.01,0.92,1.02
Elektrikli araç satışları beklentileri aştı,1.08,1.05,1.0,1.01,1.02,1.0,1.11,1.0
Maden ruhsatlarına ilişkin yeni düzenleme yayımlandı,1.0,1.0,1.0,1.08,1.12,1.0,1.02,1.0
Bankaların kârlılığı beklentileri aştı,1.11,1.07,1.02,0.97,0.97,1.02,1.09,1.03
İhracat siparişleri zayıfladı,0.93,0.96,1.02,1.03,1.02,1.01,0.9,1.03
Kamu harcamalarının artacağı açıklandı,1.03,1.03,0.98,1.02,1.01,1.04,1.04,0.98
Bireysel emeklilik fonlarına giriş hızlandı,1.04,1.09,1.03,1.02,1.01,0.99,1.04,1.04
Kredi notu değerlendirmesi ertelendi,0.97,0.99,0.98,1.03,1.02,1.01,0.96,0.99
Yenilenebilir enerji yatırımlarına teşvik geldi,1.07,1.06,1.01,1.0,1.01,0.99,1.09,1.01
Tüketici güven endeksi geriledi,0.95,0.97,1.02,1.03,1.02,1.01,0.93,1.03
Uluslararası fonlar tahvil alımlarını artırdı,1.03,1.04,1.1,1.0,0.99,0.98,1.04,1.11
Şirket birleşmesi haberi piyasayı hareketlendirdi,1.1,1.06,1.0,0.99,1.0,1.0,1.12,1.0
Enflasyon beklentileri yukarı yönlü güncellendi,0.94,0.97,0.98,1.08,1.06,1.05,0.91,0.99
Kamu borçlanma ihtiyacı azaldı,1.04,1.04,1.08,0.99,0.99,0.98,1.05,1.09
Dış ticaret açığı genişledi,0.95,0.98,1.0,1.05,1.04,1.02,0.93,1.01
Merkez Bankası likidite sıkılaştırması açıkladı,0.96,0.99,1.05,1.03,1.02,1.06,0.93,1.06
